id,Name,Release_Year,user_rate
38374,Possession,1981,4.0
45109,Blow Out,1981,1.5
31029,Davaro,1981,
101032,The Chorus,1982,3.0
39912,Dimensions of Dialogue,1982,4.0
189483,Death of Yazdgerd,1982,3.5
45419,Koyaanisqatsi,1982,4.5
44797,Pink Floyd: The Wall,1982,3.0
51972,Blade Runner,1982,3.0
51155,The Thing,1982,3.5
13336,The Road,1982,4.0
230338,The Haircut,1982,
30660,Vincent,1982,3.5
48536,Fanny and Alexander,1982,5.0
51794,The King of Comedy,1982,3.5
344257,Stranger Than Paradise,1983,4.0
51315,Videodrome,1983,3.5
165672,En Büyük Şaban,1983,
50971,Sans Soleil,1983,4.5
51065,Nostalgia,1983,4.5
99092,Down to the Cellar,1983,3.0
22954,L'Argent,1983,5.0
50712,Return of the Jedi,1983,1.0
18359,Voyage in Time,1983,3.5
45673,Zelig,1983,4.0
84505,"The Pit, the Pendulum and Hope",1983,3.5
51824,Rumble Fish,1983,4.0
50367,A Nos Amours,1983,3.5
45653,Terms of Endearment,1983,2.0
51939,Scarface,1983,3.0
44319,Broadway Danny Rose,1984,3.0
13766,Love Streams,1984,4.5
45366,Blood Simple,1984,3.0
47381,The Element of Crime,1984,4.0
51633,Stranger Than Paradise,1984,4.0
51469,"Paris, Texas",1984,5.0
51748,Once Upon a Time in America,1984,3.0
3418,Boy Meets Girl,1984,4.0
51777,Amadeus,1984,3.5
51838,The Terminator,1984,1.5
523424,Fanny and Alexander,1984,5.0
45836,The Purple Rose of Cairo,1985,3.5
51981,Brazil,1985,3.5
548552,Invasion,1985,2.5
34829,Mishima: A Life in Four Chapters,1985,4.0
50549,Prizzi's Honor,1985,3.0
36192,Come and See,1985,5.0
45842,After Hours,1985,4.0
21145,Vagabond,1985,4.0
30040,A Zed & Two Noughts,1985,4.0
47388,Police Story,1985,3.0
41990,Angel's Egg,1985,5.0
52677,Coffee and Cigarettes,1986,3.0
48940,Hannah and Her Sisters,1986,3.5
42408,Crossroads,1986,2.5
5304,Meetin' WA,1986,
36618,The Sacrifice,1986,4.0
50980,Down by Law,1986,3.5
51359,Blue Velvet,1986,4.0
44930,The Color of Money,1986,2.0
1997,Mauvais Sang,1986,3.0
60255,Dead Man's Letters,1986,4.5
51360,Platoon,1986,3.0
15669,Where Is the Friend's House?,1987,3.5
189481,The Tenants,1987,2.0
181424,Captain Khorshid,1987,4.0
240914,Shot / Countershot,1987,
51707,Raising Arizona,1987,3.0
132764,Moscow Elegy,1987,2.5
320441,Imagine,1987,3.0
32856,Epidemic,1987,2.5
51907,Wings of Desire,1987,4.5
51521,Full Metal Jacket,1987,3.0
48797,RoboCop,1987,2.5
39910,Virile Games,1988,3.0
45928,A Short Film About Killing,1988,3.5
49530,Beetlejuice,1988,2.5
28876,Medea,1988,3.5
45652,The Last Temptation of Christ,1988,3.5
454916,Shadowland,1988,
40000,Alice,1988,4.0
31506,A Short Film About Love,1988,4.0
47060,Dead Ringers,1988,4.0
98743,I... Dreaming,1988,
39222,Damnation,1988,4.5
78294,The Cowboy and the Frenchman,1988,2.5
47798,They Live,1988,2.0
187267,Coffee and Cigarettes II,1989,
51052,"sex, lies, and videotape",1989,3.5
46488,My Left Foot: The Story of Christy Brown,1989,2.0
45428,Mystery Train,1989,4.0
93934,Decalogue I,1989,4.0
14662,Decalogue II,1989,4.0
93933,Decalogue III,1989,3.0
14660,Decalogue IV,1989,4.0
93931,Decalogue V,1989,3.5
93929,Decalogue VI,1989,4.0
93928,Decalogue VII,1989,3.5
14659,Decalogue VIII,1989,3.5
93927,Decalogue IX,1989,3.5
93926,Decalogue X,1989,3.5
30213,The Seventh Continent,1989,4.5
51228,Do the Right Thing,1989,4.0
51846,Dead Poets Society,1989,1.5
384557,Twin Peaks,1989,3.5
48024,"The Cook, the Thief, His Wife & Her Lover",1989,4.0
45186,Crimes and Misdemeanors,1989,3.0
51015,Begotten,1989,3.0
274105,Dekalog,1989,4.5
862645,Cat Listening to Music,1990,
21396,Hamoon,1990,2.5
32348,Close-Up,1990,4.5
44519,Dreams,1990,3.5
51623,Wild at Heart,1990,3.0
47042,King of New York,1990,3.5
204986,An Owl Is an Owl Is an Owl,1990,
204987,Zoo Piece,1990,
51383,GoodFellas,1990,3.5
51706,Miller's Crossing,1990,3.5
51381,Home Alone,1990,
17561,Hidden Agenda,1990,1.5
50846,Misery,1990,2.0
51814,The Godfather: Part III,1990,2.5
177213,Mother,1990,
51782,The Silence of the Lambs,1991,3.0
47379,Europa,1991,4.0
50934,The Double Life of Véronique,1991,3.5
51769,Barton Fink,1991,3.0
50992,Thelma & Louise,1991,3.0
375612,Reservoir Dogs,1991,3.0
204989,Theory of Sets,1991,3.0
12905,Germany Year 90 Nine Zero,1991,3.5
17969,The Suspended Step of the Stork,1991,3.5
51723,Night on Earth,1991,3.5
50936,Cape Fear,1991,2.5
50104,The Lovers on the Bridge,1991,4.5
49161,Van Gogh,1991,4.5
50124,Naked Lunch,1991,3.0
97356,The Lady,1992,2.5
51610,Reservoir Dogs,1992,3.0
70210,"Life, and Nothing More...",1992,3.5
21184,"Once Upon a Time, Cinema",1992,3.0
12733,Lessons of Darkness,1992,4.5
51688,Basic Instinct,1992,1.5
324272,The Love-Stricken,1992,3.0
50625,Benny's Video,1992,3.5
44759,Bad Lieutenant,1992,4.0
50682,Twin Peaks: Fire Walk with Me,1992,3.5
46172,Bitter Moon,1992,1.5
2685,Unforgiven,1992,3.5
47292,Orlando,1992,4.0
47096,Glengarry Glen Ross,1992,2.5
94668,The Dream of a Ridiculous Man,1992,4.0
12983,In the Soup,1992,4.0
48454,Bram Stoker's Dracula,1992,4.0
47123,Scent of a Woman,1992,2.0
19392,Sara,1993,1.0
51914,Groundhog Day,1993,2.5
404002,Coffee and Cigarettes III,1993,
127792,"Hail, Sarajevo",1993,3.5
38397,Naked,1993,3.0
51413,The Piano,1993,4.0
49170,Body Snatchers,1993,3.0
47029,Dazed and Confused,1993,3.0
86605,Cigarettes & Coffee,1993,2.5
46232,The Age of Innocence,1993,3.5
51942,Three Colours: Blue,1993,4.0
51431,Short Cuts,1993,3.0
48473,Carlito's Way,1993,3.5
51671,Schindler's List,1993,2.0
47939,In the Name of the Father,1993,2.5
39979,Nirvana: Unplugged In New York,1993,
210106,Three Haiku Videos,1994,
315921,Tchaïka,1994,
315836,Owl Gets in Your Eyes,1994,
315923,Petite Ceinture,1994,
51941,Three Colours: White,1994,3.0
18272,Through the Olive Trees,1994,4.0
31197,Satantango,1994,5.0
51940,Three Colours: Red,1994,4.0
30212,71 Fragments of a Chronology of Chance,1994,3.0
51444,Pulp Fiction,1994,4.0
2704,Forrest Gump,1994,0.5
45602,Chungking Express,1994,3.5
51778,The Shawshank Redemption,1994,1.5
51949,Léon: The Professional,1994,3.0
43666,Immortal Beloved,1994,3.0
51974,Before Sunrise,1995,3.0
28829,The Addiction,1995,2.5
51495,The Usual Suspects,1995,2.5
30274,Safe,1995,2.5
558330,The Fateful Day,1995,2.0
931976,Premonitions Following an Evil Deed,1995,
37830,Ulysses' Gaze,1995,4.0
51231,Dead Man,1995,4.0
51684,La Haine,1995,4.0
36388,Pink Floyd: Pulse,1995,
51345,Se7en,1995,2.5
47270,Ghost in the Shell,1995,2.5
51290,Toy Story,1995,
51593,Casino,1995,2.0
51994,Heat,1995,2.5
51497,Trainspotting,1996,3.5
51781,Fargo,1996,3.5
34150,Trees Lounge,1996,4.5
51906,Breaking the Waves,1996,4.5
36124,Irma Vep,1996,3.5
47913,Hard Eight,1996,3.0
51268,Crash,1996,2.5
21524,Doodlebug,1997,1.5
51486,Lost Highway,1997,4.0
47229,Donnie Brasco,1997,2.0
50509,L.A. Confidential,1997,3.0
32345,Taste of Cherry,1997,4.0
51398,Face/Off,1997,1.0
46175,Perfect Blue,1997,3.0
40368,Gummo,1997,3.5
50168,The Game,1997,0.5
49007,Boogie Nights,1997,3.0
50780,The Devil's Advocate,1997,1.5
28195,Cure,1997,3.5
51868,Jackie Brown,1997,3.5
51487,Life Is Beautiful,1997,2.0
55281,Sodomites,1998,
106268,Richter: The Enigma,1998,3.5
51935,The Big Lebowski,1998,4.0
51630,Pi,1998,2.5
47133,Buffalo '66,1998,3.5
